Field,StrategyOrDate,LONG_ONLY,ESCAPE_WEEKLY_CHANGE_LIMIT,Value
AggReturn,2019-02-11 00:00:00,False,0.0,0.0350413556003452
AggReturn,2019-02-11 00:00:00,False,0.1,0.0303392454030792
AggReturn,2019-02-11 00:00:00,False,0.2,0.0303392454030792
AggReturn,2019-02-11 00:00:00,True,0.0,0.004130202704641
AggReturn,2019-02-11 00:00:00,True,0.1,-0.0006506558220434
AggReturn,2019-02-11 00:00:00,True,0.2,-0.0006506558220434
AggReturn,2019-02-12 00:00:00,False,0.0,0.0165805395785932
AggReturn,2019-02-12 00:00:00,False,0.1,-0.0037146704351877
AggReturn,2019-02-12 00:00:00,False,0.2,-0.0037146704351877
AggReturn,2019-02-12 00:00:00,True,0.0,0.0023356020313233
AggReturn,2019-02-12 00:00:00,True,0.1,0.0023642883177193
AggReturn,2019-02-12 00:00:00,True,0.2,0.0023642883177193
AggReturn,2019-02-13 00:00:00,False,0.0,0.0090023932907524
AggReturn,2019-02-13 00:00:00,False,0.1,0.0122665896425672
AggReturn,2019-02-13 00:00:00,False,0.2,0.0122665896425672
AggReturn,2019-02-13 00:00:00,True,0.0,0.0007165528736759
AggReturn,2019-02-13 00:00:00,True,0.1,0.0037190649686395
AggReturn,2019-02-13 00:00:00,True,0.2,0.0037190649686395
AggReturn,2019-02-14 00:00:00,False,0.0,-0.005276780813852
AggReturn,2019-02-14 00:00:00,False,0.1,-0.0309148414004176
AggReturn,2019-02-14 00:00:00,False,0.2,-0.0309148414004176
AggReturn,2019-02-14 00:00:00,True,0.0,-0.0050133182796584
AggReturn,2019-02-14 00:00:00,True,0.1,-0.0060526189741686
AggReturn,2019-02-14 00:00:00,True,0.2,-0.0060526189741686
AggReturn,2019-02-15 00:00:00,False,0.0,-0.0134429275758292
AggReturn,2019-02-15 00:00:00,False,0.1,0.0029143623710357
AggReturn,2019-02-15 00:00:00,False,0.2,0.0029143623710357
AggReturn,2019-02-15 00:00:00,True,0.0,0.0147019436165756
AggReturn,2019-02-15 00:00:00,True,0.1,0.0123563171272936
AggReturn,2019-02-15 00:00:00,True,0.2,0.0123563171272936
AggReturn,2019-02-19 00:00:00,False,0.0,-0.0414926516120589
AggReturn,2019-02-19 00:00:00,False,0.1,-0.0320221972986553
AggReturn,2019-02-19 00:00:00,False,0.2,-0.0320221972986553
AggReturn,2019-02-19 00:00:00,True,0.0,0.0098502992346379
AggReturn,2019-02-19 00:00:00,True,0.1,0.0077413111916933
AggReturn,2019-02-19 00:00:00,True,0.2,0.0077413111916933
AggReturn,2019-02-20 00:00:00,False,0.0,-0.011892495725085
AggReturn,2019-02-20 00:00:00,False,0.1,0.003428857947015
AggReturn,2019-02-20 00:00:00,False,0.2,0.003428857947015
AggReturn,2019-02-20 00:00:00,True,0.0,0.0002388125306775
AggReturn,2019-02-20 00:00:00,True,0.1,0.0025405867103359
AggReturn,2019-02-20 00:00:00,True,0.2,0.0025405867103359
AggReturn,2019-02-21 00:00:00,False,0.0,0.0397703745371323
AggReturn,2019-02-21 00:00:00,False,0.1,0.0215738708768112
AggReturn,2019-02-21 00:00:00,False,0.2,0.0215738708768112
AggReturn,2019-02-21 00:00:00,True,0.0,0.0091822811301491
AggReturn,2019-02-21 00:00:00,True,0.1,0.0038728419701233
AggReturn,2019-02-21 00:00:00,True,0.2,0.0038728419701233
AggReturn,2019-02-22 00:00:00,False,0.0,0.018677153332681
AggReturn,2019-02-22 00:00:00,False,0.1,0.0179480861943681
AggReturn,2019-02-22 00:00:00,False,0.2,0.0179480861943681
AggReturn,2019-02-22 00:00:00,True,0.0,0.0051271479623778
AggReturn,2019-02-22 00:00:00,True,0.1,0.0049137793038772
AggReturn,2019-02-22 00:00:00,True,0.2,0.0049137793038772
AggReturn,2019-02-25 00:00:00,False,0.0,0.0327141602904297
AggReturn,2019-02-25 00:00:00,False,0.1,0.0271385620614126
AggReturn,2019-02-25 00:00:00,False,0.2,0.0271385620614126
AggReturn,2019-02-25 00:00:00,True,0.0,0.003195811890958
AggReturn,2019-02-25 00:00:00,True,0.1,0.0041786224308004
AggReturn,2019-02-25 00:00:00,True,0.2,0.0041786224308004
AggReturn,2019-02-26 00:00:00,False,0.0,0.0092554697309704
AggReturn,2019-02-26 00:00:00,False,0.1,0.0102903940922848
AggReturn,2019-02-26 00:00:00,False,0.2,0.0102903940922848
AggReturn,2019-02-26 00:00:00,True,0.0,0.017572862913125
AggReturn,2019-02-26 00:00:00,True,0.1,0.0157144142678767
AggReturn,2019-02-26 00:00:00,True,0.2,0.0157144142678767
AggReturn,2019-02-27 00:00:00,False,0.0,-0.0143497232305564
AggReturn,2019-02-27 00:00:00,False,0.1,-0.0175124254093982
AggReturn,2019-02-27 00:00:00,False,0.2,-0.0175124254093982
AggReturn,2019-02-27 00:00:00,True,0.0,-0.0275487038797542
AggReturn,2019-02-27 00:00:00,True,0.1,-0.024063652301602
AggReturn,2019-02-27 00:00:00,True,0.2,-0.024063652301602
AggReturn,2019-02-28 00:00:00,False,0.0,0.0222898401839632
AggReturn,2019-02-28 00:00:00,False,0.1,-0.0018364171026693
AggReturn,2019-02-28 00:00:00,False,0.2,-0.0018364171026693
AggReturn,2019-02-28 00:00:00,True,0.0,0.0027565198940396
AggReturn,2019-02-28 00:00:00,True,0.1,0.0042521659016671
AggReturn,2019-02-28 00:00:00,True,0.2,0.0042521659016671
AggReturn,2019-03-01 00:00:00,False,0.0,0.0193246832651904
AggReturn,2019-03-01 00:00:00,False,0.1,0.0194970897477139
AggReturn,2019-03-01 00:00:00,False,0.2,0.0194970897477139
AggReturn,2019-03-01 00:00:00,True,0.0,0.018980730537124
AggReturn,2019-03-01 00:00:00,True,0.1,0.0098912679531426
AggReturn,2019-03-01 00:00:00,True,0.2,0.0098912679531426
AggReturn,2019-03-04 00:00:00,False,0.0,-0.0165129423012893
AggReturn,2019-03-04 00:00:00,False,0.1,-0.0125237705778255
AggReturn,2019-03-04 00:00:00,False,0.2,-0.0125237705778255
AggReturn,2019-03-04 00:00:00,True,0.0,-0.0087106827648059
AggReturn,2019-03-04 00:00:00,True,0.1,-0.0053135445230103
AggReturn,2019-03-04 00:00:00,True,0.2,-0.0053135445230103
AggReturn,2019-03-05 00:00:00,False,0.0,0.0127739982136032
AggReturn,2019-03-05 00:00:00,False,0.1,0.0101591424072287
AggReturn,2019-03-05 00:00:00,False,0.2,0.0101591424072287
AggReturn,2019-03-05 00:00:00,True,0.0,0.0013919274242873
AggReturn,2019-03-05 00:00:00,True,0.1,0.0016455028115467
AggReturn,2019-03-05 00:00:00,True,0.2,0.0016455028115467
AggReturn,2019-03-06 00:00:00,False,0.0,0.0107626415391305
