Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-10 00:00:00,300,8,-0.0162119836413129
AggReturn,2019-01-10 00:00:00,500,12,-0.0036973195312189
AggReturn,2019-01-10 00:00:00,500,16,-0.0033700715922268
AggReturn,2019-01-10 00:00:00,500,4,-8.391429259202443e-05
AggReturn,2019-01-10 00:00:00,500,8,-0.0050445203859454
AggReturn,2019-01-10 00:00:00,800,12,-0.0065402721721562
AggReturn,2019-01-10 00:00:00,800,16,0.0187085544437789
AggReturn,2019-01-10 00:00:00,800,4,-0.0089894640342302
AggReturn,2019-01-10 00:00:00,800,8,-0.0073025512373327
AggReturn,2019-01-11 00:00:00,1200,12,-0.0052184099989383
AggReturn,2019-01-11 00:00:00,1200,16,-0.0079961863270636
AggReturn,2019-01-11 00:00:00,1200,4,-0.0043264417761099
AggReturn,2019-01-11 00:00:00,1200,8,0.0046637090762567
AggReturn,2019-01-11 00:00:00,300,12,0.0002008258422949
AggReturn,2019-01-11 00:00:00,300,16,0.0016841307681987
AggReturn,2019-01-11 00:00:00,300,4,-0.0003643618580434
AggReturn,2019-01-11 00:00:00,300,8,0.00273712674189
AggReturn,2019-01-11 00:00:00,500,12,0.0023254269745248
AggReturn,2019-01-11 00:00:00,500,16,0.0025673835687569
AggReturn,2019-01-11 00:00:00,500,4,0.0062715030204612
AggReturn,2019-01-11 00:00:00,500,8,0.000699863531783
AggReturn,2019-01-11 00:00:00,800,12,0.0129417254724559
AggReturn,2019-01-11 00:00:00,800,16,-0.0020816628786594
AggReturn,2019-01-11 00:00:00,800,4,-0.0042551192879962
AggReturn,2019-01-11 00:00:00,800,8,0.0017077187917056
AggReturn,2019-01-14 00:00:00,1200,12,-0.0069664769640686
AggReturn,2019-01-14 00:00:00,1200,16,-0.0220655590438485
AggReturn,2019-01-14 00:00:00,1200,4,-0.0236546015070558
AggReturn,2019-01-14 00:00:00,1200,8,-0.0222755893180335
AggReturn,2019-01-14 00:00:00,300,12,-0.0007523067219672
AggReturn,2019-01-14 00:00:00,300,16,-0.0013624551987029
AggReturn,2019-01-14 00:00:00,300,4,0.0090039737716923
AggReturn,2019-01-14 00:00:00,300,8,0.007024583140449
AggReturn,2019-01-14 00:00:00,500,12,-0.0071642154741639
AggReturn,2019-01-14 00:00:00,500,16,-0.0053047864983545
AggReturn,2019-01-14 00:00:00,500,4,0.0004827324893516
AggReturn,2019-01-14 00:00:00,500,8,-0.0079116769787241
AggReturn,2019-01-14 00:00:00,800,12,-0.0175295475342812
AggReturn,2019-01-14 00:00:00,800,16,-0.0088597748378582
AggReturn,2019-01-14 00:00:00,800,4,-0.0152240559514076
AggReturn,2019-01-14 00:00:00,800,8,-0.0109036606578238
AggReturn,2019-01-15 00:00:00,1200,12,0.0040165165021546
AggReturn,2019-01-15 00:00:00,1200,16,-0.0250303895955129
AggReturn,2019-01-15 00:00:00,1200,4,0.008974431464275
AggReturn,2019-01-15 00:00:00,1200,8,-0.0080607497211438
AggReturn,2019-01-15 00:00:00,300,12,-0.0071494419730179
AggReturn,2019-01-15 00:00:00,300,16,-0.0030938360047345
AggReturn,2019-01-15 00:00:00,300,4,-0.0247528387996766
AggReturn,2019-01-15 00:00:00,300,8,-0.0120923424197351
AggReturn,2019-01-15 00:00:00,500,12,0.0026437190880727
AggReturn,2019-01-15 00:00:00,500,16,0.0022322899130149
AggReturn,2019-01-15 00:00:00,500,4,-0.0040117860239967
AggReturn,2019-01-15 00:00:00,500,8,-0.0006377135517901
AggReturn,2019-01-15 00:00:00,800,12,-0.0014065205516332
AggReturn,2019-01-15 00:00:00,800,16,-0.0040344433582599
AggReturn,2019-01-15 00:00:00,800,4,0.001668561949125
AggReturn,2019-01-15 00:00:00,800,8,0.0046077817177754
AggReturn,2019-01-16 00:00:00,1200,12,0.0212409289148277
AggReturn,2019-01-16 00:00:00,1200,16,0.0309183331994895
AggReturn,2019-01-16 00:00:00,1200,4,0.0112038062996545
AggReturn,2019-01-16 00:00:00,1200,8,-4.002612696717145e-05
AggReturn,2019-01-16 00:00:00,300,12,-0.0030429715112342
AggReturn,2019-01-16 00:00:00,300,16,-0.0023128968596304
AggReturn,2019-01-16 00:00:00,300,4,-0.0125234256443094
AggReturn,2019-01-16 00:00:00,300,8,-0.0063068475765011
AggReturn,2019-01-16 00:00:00,500,12,0.0031252325063006
AggReturn,2019-01-16 00:00:00,500,16,0.0047082012519887
AggReturn,2019-01-16 00:00:00,500,4,0.00474784457198
AggReturn,2019-01-16 00:00:00,500,8,0.0041163125956398
AggReturn,2019-01-16 00:00:00,800,12,-0.0028180240161545
AggReturn,2019-01-16 00:00:00,800,16,0.0021911885115497
AggReturn,2019-01-16 00:00:00,800,4,0.0011024472958107
AggReturn,2019-01-16 00:00:00,800,8,0.0038352385774377
