Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-09 00:00:00,1200,4,-0.0373716177565023
AggReturn,2019-01-09 00:00:00,1200,8,-0.012391252898209
AggReturn,2019-01-09 00:00:00,500,12,-0.0116011019512645
AggReturn,2019-01-09 00:00:00,500,16,-0.002964065212345
AggReturn,2019-01-09 00:00:00,500,2,-0.0228810086486865
AggReturn,2019-01-09 00:00:00,500,4,-0.0336616755367601
AggReturn,2019-01-09 00:00:00,500,8,-0.0280379877087047
AggReturn,2019-01-09 00:00:00,800,12,-0.011793310093702
AggReturn,2019-01-09 00:00:00,800,16,-0.0264997161044558
AggReturn,2019-01-09 00:00:00,800,2,-0.0417751480399481
AggReturn,2019-01-09 00:00:00,800,4,-0.047422498737418
AggReturn,2019-01-09 00:00:00,800,8,-0.0255819193002616
AggReturn,2019-01-10 00:00:00,1200,12,0.0168989539329038
AggReturn,2019-01-10 00:00:00,1200,16,0.0565202027502525
AggReturn,2019-01-10 00:00:00,1200,2,-0.0513551158758544
AggReturn,2019-01-10 00:00:00,1200,4,-0.0321265740233406
AggReturn,2019-01-10 00:00:00,1200,8,-0.0313088795508767
AggReturn,2019-01-10 00:00:00,500,12,-0.0284742887636285
AggReturn,2019-01-10 00:00:00,500,16,-0.031449321290027
AggReturn,2019-01-10 00:00:00,500,2,-0.0386202361381798
AggReturn,2019-01-10 00:00:00,500,4,-0.0411505851510896
AggReturn,2019-01-10 00:00:00,500,8,-0.0272990916140506
AggReturn,2019-01-10 00:00:00,800,12,-0.0263177876702568
AggReturn,2019-01-10 00:00:00,800,16,0.0046279421732686
AggReturn,2019-01-10 00:00:00,800,2,-0.0500791671549573
AggReturn,2019-01-10 00:00:00,800,4,-0.0297739207695723
AggReturn,2019-01-10 00:00:00,800,8,-0.0136578402687285
AggReturn,2019-01-11 00:00:00,1200,12,0.0018139174542303
AggReturn,2019-01-11 00:00:00,1200,16,-0.0040221006704869
AggReturn,2019-01-11 00:00:00,1200,2,0.0224780067981605
AggReturn,2019-01-11 00:00:00,1200,4,0.0133561442905106
AggReturn,2019-01-11 00:00:00,1200,8,0.0137464204674887
AggReturn,2019-01-11 00:00:00,500,12,-0.0022670814461838
AggReturn,2019-01-11 00:00:00,500,16,0.0093748661525633
AggReturn,2019-01-11 00:00:00,500,2,0.0302854367883228
AggReturn,2019-01-11 00:00:00,500,4,-0.0277424926607946
AggReturn,2019-01-11 00:00:00,500,8,-0.0075904926951373
AggReturn,2019-01-11 00:00:00,800,12,0.0066724165943106
AggReturn,2019-01-11 00:00:00,800,16,-0.0100952184939351
AggReturn,2019-01-11 00:00:00,800,2,0.0216394676500319
AggReturn,2019-01-11 00:00:00,800,4,-0.0247171399277889
AggReturn,2019-01-11 00:00:00,800,8,-0.0112056110144809
AggReturn,2019-01-14 00:00:00,1200,12,0.0125603915834642
AggReturn,2019-01-14 00:00:00,1200,16,-0.0134558669346017
AggReturn,2019-01-14 00:00:00,1200,2,0.0581812843012929
AggReturn,2019-01-14 00:00:00,1200,4,0.019647298691516
AggReturn,2019-01-14 00:00:00,1200,8,-0.0019116010703465
AggReturn,2019-01-14 00:00:00,500,12,0.0168853474655502
AggReturn,2019-01-14 00:00:00,500,16,0.010226940325327
AggReturn,2019-01-14 00:00:00,500,2,0.0725954651518988
AggReturn,2019-01-14 00:00:00,500,4,0.0808751531052766
AggReturn,2019-01-14 00:00:00,500,8,0.0287121966204794
AggReturn,2019-01-14 00:00:00,800,12,0.0091140328650608
AggReturn,2019-01-14 00:00:00,800,16,0.0169610985633662
AggReturn,2019-01-14 00:00:00,800,2,0.0615893442938469
AggReturn,2019-01-14 00:00:00,800,4,0.0643574286668284
AggReturn,2019-01-14 00:00:00,800,8,0.0256219831788426
AggReturn,2019-01-15 00:00:00,1200,12,0.0401239022897246
AggReturn,2019-01-15 00:00:00,1200,16,-0.0052800763993023
AggReturn,2019-01-15 00:00:00,1200,2,0.1057736560676152
AggReturn,2019-01-15 00:00:00,1200,4,0.048972050404263
AggReturn,2019-01-15 00:00:00,1200,8,0.0261704139176315
AggReturn,2019-01-15 00:00:00,500,12,0.0107930362005754
AggReturn,2019-01-15 00:00:00,500,16,0.0059364541594981
AggReturn,2019-01-15 00:00:00,500,2,0.1034534712380885
AggReturn,2019-01-15 00:00:00,500,4,0.0459815847392637
AggReturn,2019-01-15 00:00:00,500,8,0.0123270923985295
AggReturn,2019-01-15 00:00:00,800,12,0.0144279425778313
AggReturn,2019-01-15 00:00:00,800,16,0.0108275825418277
AggReturn,2019-01-15 00:00:00,800,2,0.1073050991008876
AggReturn,2019-01-15 00:00:00,800,4,0.0334189151239289
AggReturn,2019-01-15 00:00:00,800,8,0.0207219547923783
AggReturn,2019-01-16 00:00:00,1200,12,0.0229251764486825
AggReturn,2019-01-16 00:00:00,1200,16,0.044073271014762
AggReturn,2019-01-16 00:00:00,1200,2,0.0081174714723312
AggReturn,2019-01-16 00:00:00,1200,4,-0.019442736941279
AggReturn,2019-01-16 00:00:00,1200,8,-0.0054387566398527
AggReturn,2019-01-16 00:00:00,500,12,-0.0019635713779196
AggReturn,2019-01-16 00:00:00,500,16,0.0019301776284194
AggReturn,2019-01-16 00:00:00,500,2,0.0026874349178902
AggReturn,2019-01-16 00:00:00,500,4,0.0160008308038998
AggReturn,2019-01-16 00:00:00,500,8,-0.010121526562827
AggReturn,2019-01-16 00:00:00,800,12,0.0007197193486262
AggReturn,2019-01-16 00:00:00,800,16,0.0065827127445853
AggReturn,2019-01-16 00:00:00,800,2,0.0040709662535135
AggReturn,2019-01-16 00:00:00,800,4,0.0231443768915535
AggReturn,2019-01-16 00:00:00,800,8,0.0090515593649177
AggReturn,2019-01-17 00:00:00,1200,12,0.0029527480644973
AggReturn,2019-01-17 00:00:00,1200,16,-0.006547938178208
AggReturn,2019-01-17 00:00:00,1200,2,0.0630469944502825
AggReturn,2019-01-17 00:00:00,1200,4,0.0493881361172152
AggReturn,2019-01-17 00:00:00,1200,8,0.027774416072006
AggReturn,2019-01-17 00:00:00,500,12,0.0218394028623182
AggReturn,2019-01-17 00:00:00,500,16,0.011119141027448
AggReturn,2019-01-17 00:00:00,500,2,0.0684945437170639
AggReturn,2019-01-17 00:00:00,500,4,0.0326288737500315
AggReturn,2019-01-17 00:00:00,500,8,0.0282357496352033
AggReturn,2019-01-17 00:00:00,800,12,0.0159888186216029
AggReturn,2019-01-17 00:00:00,800,16,0.0145568572436469
AggReturn,2019-01-17 00:00:00,800,2,0.0624563768330027
AggReturn,2019-01-17 00:00:00,800,4,0.0290725699037781
AggReturn,2019-01-17 00:00:00,800,8,0.0245492990254999
AggReturn,2019-01-18 00:00:00,1200,12,-0.016361446133347
AggReturn,2019-01-18 00:00:00,1200,16,-0.0220007496256835
AggReturn,2019-01-18 00:00:00,1200,2,-0.009047525592606
AggReturn,2019-01-18 00:00:00,1200,4,0.0056628514620546
AggReturn,2019-01-18 00:00:00,1200,8,0.0004804067538199
AggReturn,2019-01-18 00:00:00,500,12,-0.0088030291526942
AggReturn,2019-01-18 00:00:00,500,16,-0.0113735432019763
AggReturn,2019-01-18 00:00:00,500,2,-0.0054528350873629
AggReturn,2019-01-18 00:00:00,500,4,0.006686367083385
AggReturn,2019-01-18 00:00:00,500,8,0.005446596022316
AggReturn,2019-01-18 00:00:00,800,12,0.0001310670286989
AggReturn,2019-01-18 00:00:00,800,16,-0.0030185611209291
AggReturn,2019-01-18 00:00:00,800,2,-0.0127462852202134
AggReturn,2019-01-18 00:00:00,800,4,-0.0012719543641514
AggReturn,2019-01-18 00:00:00,800,8,-0.0097225827351411
AggReturn,2019-01-22 00:00:00,1200,12,0.0043282258718546
AggReturn,2019-01-22 00:00:00,1200,16,-0.001297787344144
AggReturn,2019-01-22 00:00:00,1200,2,0.0322008403621719
AggReturn,2019-01-22 00:00:00,1200,4,0.023650444885228
AggReturn,2019-01-22 00:00:00,1200,8,0.0035335403314063
AggReturn,2019-01-22 00:00:00,500,12,-0.0018307476238304
AggReturn,2019-01-22 00:00:00,500,16,-0.0040531217469666
AggReturn,2019-01-22 00:00:00,500,2,0.03516810536478
AggReturn,2019-01-22 00:00:00,500,4,0.0008372129945231
